,id,Type,Area,Price,Purpose,Location,Bedroom,Bath,Added,time,link
0,26419018,Residential Plot,126.44999999999999,45.0,For Sale,"9th Avenue, Islamabad, Islamabad Capital",-,-,ANZO PROPERTIES,3 weeks ago,https://www.zameen.com/Property/islamabad_9th_avenue_overseas_block_5_marla_plot_for_sale_on_installment-26419018-3105-2.html
1,26280915,Commercial Plot,4301.0,700.0,For Sale,"9th Avenue, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,1 month ago,https://www.zameen.com/Property/islamabad_9th_avenue_affordable_commercial_plot_for_sale_in_9th_avenue-26280915-3105-2.html
2,25630231,Plot File,126.44999999999999,90 Thousand,For Sale,"9th Avenue, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,2 months ago,https://www.zameen.com/Property/islamabad_9th_avenue_in_9th_avenue_1125__square_feet_plot_file_for_sale-25630231-3105-2.html
3,24103281,Residential Plot,303.48,40.0,For Sale,"9th Avenue, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,5 months ago,https://www.zameen.com/Property/islamabad_9th_avenue_12_marla_plot__for_sale-24103281-3105-2.html
4,18928251,Plot File,126.44999999999999,2.05,For Sale,"9th Avenue, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,1 year ago,https://www.zameen.com/Property/islamabad_9th_avenue_5_marla_plot_file_aa_block-18928251-3105-2.html
0,26051261,Commercial Plot,169.443,12.0,For Sale,"Akbar Town, Islamabad, Islamabad Capital",-,-,3 STAR MARKETING,1 day ago,https://www.zameen.com/Property/islamabad_akbar_town_main_commercial_front_back_open_plot-26051261-1398-2.html
0,23787759,Residential Plot,506.0,16.0,For Sale,"Mohra Nur Road, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,5 months ago,https://www.zameen.com/Property/islamabad_mohra_nur_road_plot_is_available_for_sale-23787759-12800-2.html
1,22026047,Residential Plot,164.385,3.5,For Sale,"Mohra Nur Road, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,10 months ago,https://www.zameen.com/Property/islamabad_mohra_nur_road_6_5_marla_residential_plot_is_available_for_sale-22026047-12800-2.html
0,27049240,Commercial Plot,6.4 Marla,70.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,3 days ago,https://www.zameen.com/Property/g_8_g_8_4_48_30_commercial_cda_transfer_corner_plot_available_in_g_8_4-27049240-3379-2.html
1,23960379,Commercial Plot,6.4 Marla,75.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,JAVED ENTERPRISES,4 days ago,https://www.zameen.com/Property/g_8_g_8_1_commercial_plot_for_sale_in_sector_g_8_1_islamabad-23960379-3376-2.html
2,26171643,Commercial Plot,1.1 Kanal,350.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,GOOD LUCK ESTATE,1 week ago,https://www.zameen.com/Property/g_8_g_8_4_commercial_plot_for_sale_on_ideal_location_in_g_8_4_i_t_center-26171643-3379-2.html
3,26078886,Commercial Plot,10.7 Marla,130.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,SAHARA ESTATE,1 month ago,https://www.zameen.com/Property/islamabad_g_8_2400_sq__ft_commercial_plot_is_available_for_sale-26078886-170-2.html
4,20943944,Commercial Plot,7.1 Marla,67.5,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,SAHARA ESTATE,1 month ago,https://www.zameen.com/Property/islamabad_g_8_commercial_plot_available_for_sale-20943944-170-2.html
5,22061372,Commercial Plot,7.1 Marla,60.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,9 months ago,https://www.zameen.com/Property/g_8_g_8_4_beautiful_commercial_plots_is_available_for_sale-22061372-3379-2.html
6,22061117,Commercial Plot,7.1 Marla,60.0,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,9 months ago,https://www.zameen.com/Property/g_8_g_8_4_beautiful_commercial_plots_is_available_for_sale-22061117-3379-2.html
7,21148028,Plot File,7 Marla,0.125,For Sale,"G-8, Islamabad, Islamabad Capital",-,-,USEFUL LINKS,11 months ago,https://www.zameen.com/Property/islamabad_g_8_blue_world_city_7_marla_overseas_file_is_available_for_sale-21148028-170-2.html
